id,target,mutants_in_minimal,test_suites,assertions,mutants,killed_mutants,not_equivalent_mutants,%,differential_success,minimal,survive,killed,equivalent,class,method,line,column,project
50,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),421,0,h2
51,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),454,0,h2
52,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),460,0,h2
53,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.ErrorCode,getState(int),451,0,h2
56,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",264,0,h2
59,stm_list,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",190,0,h2
60,exp,1,1,1,6,6,6,100.00%,TRUE,AOIU -exp,,"LOI ~exp,AOIS --exp,AOIS exp++,AOIS exp--,AOIS ++exp,AOIU -exp",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",228,0,h2
61,lexp > rexp,3,3,3,8,8,8,100.00%,TRUE,"ROR >=,ROR !=,ROR false",,"COI !(),ROR <,ROR ==,ROR !=,ROR true,ROR false,ROR >=,ROR <=",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",182,0,h2
62,lexp > rexp,3,3,3,8,8,8,100.00%,TRUE,"ROR >=,ROR !=,ROR false",,"ROR <=,ROR !=,ROR true,ROR <,ROR >=,ROR ==,COI !(),ROR false",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",216,0,h2
64,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,hasDays(),109,0,h2
66,lexp || rexp,4,4,4,9,9,9,100.00%,TRUE,"COR true,COR !=,ODL rexp,ODL lexp",,"ODL lexp,COI !(),COR true,ODL rexp,COR !=,COR &&,COR ^,COR ==,COR false",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",189,0,h2
70,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",196,0,h2
72,stm_list,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",248,0,h2
73,case_stm,9,9,9,9,9,9,100.00%,TRUE,"SDL,SDL,SDL,SDL,SDL,SDL,SDL,SDL,SDL",,"SDL,SDL,SDL,SDL,SDL,SDL,SDL,SDL,SDL",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",251,0,h2
74,exp,1,1,1,6,6,6,100.00%,TRUE,AOIU -exp,,"AOIU -exp,LOI ~exp,AOIS --exp,AOIS ++exp,AOIS exp++,AOIS exp--",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",216,0,h2
75,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,hasMinutes(),143,0,h2
78,lexp > rexp,3,3,3,8,8,8,100.00%,TRUE,"ROR !=,ROR >=,ROR false",,"ROR false,ROR <,COI !(),ROR ==,ROR <=,ROR >=,ROR !=,ROR true",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",254,0,h2
79,lexp > rexp,3,3,3,8,8,8,100.00%,TRUE,"ROR false,ROR !=,ROR >=",,"ROR <=,COI !(),ROR false,ROR <,ROR ==,ROR !=,ROR >=,ROR true",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",224,0,h2
80,lexp > rexp,3,3,3,8,8,8,100.00%,TRUE,"ROR >=,ROR !=,ROR false",,"ROR true,ROR ==,COI !(),ROR >=,ROR !=,ROR <=,ROR false,ROR <",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",200,0,h2
81,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",239,0,h2
82,exp,1,1,1,6,1,6,16.67%,TRUE,AOIU -exp,"LOI ~exp,AOIS ++exp,AOIS exp++,AOIS exp--,AOIS --exp",AOIU -exp,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",190,0,h2
84,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,hasSeconds(),155,0,h2
85,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",250,0,h2
86,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",231,0,h2
87,lexp >= rexp,3,3,3,8,8,8,100.00%,TRUE,"ROR ==,ROR true,ROR >",,"ROR >,ROR !=,ROR <=,ROR ==,ROR true,ROR <,COI !(),ROR false",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",228,0,h2
89,if_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",261,0,h2
92,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,hasDays(),106,0,h2
94,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",212,0,h2
95,exp,1,1,1,6,6,6,100.00%,TRUE,AOIU -exp,,"AOIS ++exp,AOIS exp++,AOIS exp--,LOI ~exp,AOIS --exp,AOIU -exp",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",191,0,h2
97,exp,1,1,1,6,6,6,100.00%,TRUE,AOIU -exp,,"LOI ~exp,AOIU -exp,AOIS --exp,AOIS exp++,AOIS ++exp,AOIS exp--",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",258,0,h2
99,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",239,0,h2
100,return_stm,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,hasMonths(),96,0,h2
101,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",212,0,h2
103,exp,1,1,1,6,2,6,33.33%,TRUE,AOIU -exp,"AOIS exp--,AOIS exp++,AOIS --exp,AOIS ++exp","AOIU -exp,LOI ~exp",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",200,0,h2
106,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",220,0,h2
108,return_stm,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,isDayTime(),86,0,h2
109,exp,1,1,1,6,1,6,16.67%,TRUE,AOIU -exp,"AOIS exp--,AOIS exp++,AOIS ++exp,AOIS --exp,LOI ~exp",AOIU -exp,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",243,0,h2
110,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,hasMinutes(),140,0,h2
111,stm_list,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",202,0,h2
112,exp,1,1,1,6,2,6,33.33%,TRUE,AOIU -exp,"AOIS exp++,AOIS --exp,AOIS exp--,AOIS ++exp","AOIU -exp,LOI ~exp",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",247,0,h2
113,if_stm,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",219,0,h2
114,exp,1,1,1,6,6,6,100.00%,TRUE,AOIU -exp,,"AOIS exp--,AOIS exp++,AOIS --exp,AOIU -exp,LOI ~exp,AOIS ++exp",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",235,0,h2
116,if_stm,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",185,0,h2
119,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",260,0,h2
120,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",204,0,h2
121,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",220,0,h2
125,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",260,0,h2
127,lexp >= rexp,3,3,3,8,8,8,100.00%,TRUE,"ROR ==,ROR true,ROR >",,"ROR <,ROR ==,COI !(),ROR true,ROR <=,ROR !=,ROR false,ROR >",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",258,0,h2
128,lexp >= rexp,3,3,3,8,8,8,100.00%,TRUE,"ROR ==,ROR >,ROR true",,"COI !(),ROR true,ROR false,ROR ==,ROR <=,ROR >,ROR <,ROR !=",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",247,0,h2
130,if_stm,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",231,0,h2
131,if_stm,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",257,0,h2
132,return_stm,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,hasMultipleFields(),165,0,h2
134,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",194,0,h2
136,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",176,0,h2
137,lexp > rexp,3,3,3,8,8,8,100.00%,TRUE,"ROR !=,ROR >=,ROR false",,"ROR !=,ROR true,ROR <,ROR >=,ROR <=,COI !(),ROR false,ROR ==",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",189,0,h2
140,if_stm,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",211,0,h2
141,stm_list,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",237,0,h2
142,stm_list,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",192,0,h2
143,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,hasHours(),126,0,h2
145,lexp >= rexp,3,3,3,8,8,8,100.00%,TRUE,"ROR >,ROR true,ROR ==",,"COI !(),ROR <,ROR <=,ROR !=,ROR true,ROR >,ROR false,ROR ==",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",189,0,h2
147,lexp > rexp,3,3,3,8,8,8,100.00%,TRUE,"ROR false,ROR >=,ROR !=",,"COI !(),ROR >=,ROR true,ROR <=,ROR false,ROR <,ROR !=,ROR ==",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",235,0,h2
148,if_stm,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",246,0,h2
149,exp,1,1,1,6,2,6,33.33%,TRUE,AOIU -exp,"AOIS exp++,AOIS --exp,AOIS exp--,AOIS ++exp","LOI ~exp,AOIU -exp",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",224,0,h2
150,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,hasHours(),123,0,h2
152,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",250,0,h2
153,exp,1,1,1,6,6,6,100.00%,TRUE,AOIU -exp,,"AOIS exp++,AOIU -exp,AOIS exp--,AOIS --exp,LOI ~exp,AOIS ++exp",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",182,0,h2
155,stm_list,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",229,0,h2
157,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",185,0,h2
159,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",204,0,h2
160,exp,1,1,1,6,2,6,33.33%,TRUE,AOIU -exp,"AOIS ++exp,AOIS --exp,AOIS exp--,AOIS exp++","LOI ~exp,AOIU -exp",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",208,0,h2
161,exp,1,1,1,6,6,6,100.00%,TRUE,AOIU -exp,,"AOIS exp--,AOIS --exp,AOIS exp++,AOIU -exp,AOIS ++exp,LOI ~exp",,org.h2.api.IntervalQualifier,"getTypeName(int,int)",254,0,h2
162,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,"getTypeName(int,int)",231,0,h2
163,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.api.IntervalQualifier,hasSeconds(),158,0,h2
164,lexp != rexp,1,1,1,2,2,2,100.00%,TRUE,ROR ==,,"ROR ==,COI !()",,org.h2.bnf.RuleElement,setLinks(java.util.HashMap),37,0,h2
165,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleElement,,27,0,h2
167,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleElement,autoComplete(org.h2.bnf.Sentence),68,0,h2
172,lexp + rexp,2,2,2,3,3,3,100.00%,TRUE,"ODL lexp,ODL rexp",,"ODL rexp,CDL lexp,ODL lexp",,org.h2.bnf.RuleElement,setLinks(java.util.HashMap),52,0,h2
175,lexp + rexp,2,2,2,4,4,4,100.00%,TRUE,"ODL rexp,ODL lexp",,"ODL lexp,CDL rexp,VDL lexp,ODL rexp",,org.h2.bnf.RuleElement,setLinks(java.util.HashMap),52,0,h2
176,lexp != rexp,1,1,1,2,2,2,100.00%,TRUE,ROR ==,,"ROR ==,COI !()",,org.h2.bnf.RuleElement,setLinks(java.util.HashMap),47,0,h2
178,return_stm,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.bnf.RuleElement,autoComplete(org.h2.bnf.Sentence),79,0,h2
181,exp,1,1,1,1,1,1,100.00%,TRUE,COI !exp,,COI !exp,,org.h2.bnf.RuleElement,autoComplete(org.h2.bnf.Sentence),58,0,h2
182,lexp + rexp,2,2,2,3,3,3,100.00%,TRUE,"ODL lexp,ODL rexp",,"ODL lexp,VDL lexp,ODL rexp",,org.h2.bnf.RuleElement,setLinks(java.util.HashMap),52,0,h2
183,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleElement,autoComplete(org.h2.bnf.Sentence),78,0,h2
187,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleElement,autoComplete(org.h2.bnf.Sentence),77,0,h2
190,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleElement,autoComplete(org.h2.bnf.Sentence),69,0,h2
191,if_stm,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.bnf.RuleElement,autoComplete(org.h2.bnf.Sentence),78,0,h2
197,stm_list,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.bnf.RuleElement,setLinks(java.util.HashMap),50,0,h2
201,exp,1,1,1,6,4,6,66.67%,TRUE,AOIU -exp,"AOIS exp++,AOIS ++exp","LOI ~exp,AOIS --exp,AOIU -exp,AOIS exp--",,org.h2.bnf.RuleElement,setLinks(java.util.HashMap),44,0,h2
204,exp,1,1,1,1,1,1,100.00%,TRUE,COI !exp,,COI !exp,,org.h2.bnf.RuleElement,setLinks(java.util.HashMap),40,0,h2
245,!exp,1,1,1,2,2,2,100.00%,TRUE,COD exp,,"ODL exp,COD exp",,org.h2.bnf.RuleFixed,autoComplete(org.h2.bnf.Sentence),240,0,h2
250,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleFixed,autoComplete(org.h2.bnf.Sentence),247,0,h2
262,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleFixed,autoComplete(org.h2.bnf.Sentence),132,0,h2
283,lexp + rexp,2,2,2,4,4,4,100.00%,TRUE,"ODL lexp,ODL rexp",,"VDL lexp,ODL lexp,ODL rexp,CDL rexp",,org.h2.bnf.RuleFixed,autoComplete(org.h2.bnf.Sentence),237,0,h2
326,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleFixed,autoComplete(org.h2.bnf.Sentence),250,0,h2
339,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleFixed,autoComplete(org.h2.bnf.Sentence),79,0,h2
340,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleFixed,autoComplete(org.h2.bnf.Sentence),249,0,h2
346,exp,1,1,1,6,4,4,100.00%,TRUE,AOIU -exp,,"AOIU -exp,AOIS --exp,LOI ~exp,AOIS ++exp","AOIS exp++,AOIS exp--",org.h2.bnf.RuleFixed,,51,0,h2
348,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleHead,getSection(),41,0,h2
349,!exp,1,1,1,2,2,2,100.00%,TRUE,COD exp,,"ODL exp,COD exp",,org.h2.bnf.RuleOptional,setLinks(java.util.HashMap),29,0,h2
350,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleOptional,autoComplete(org.h2.bnf.Sentence),39,0,h2
351,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleOptional,setLinks(java.util.HashMap),31,0,h2
353,if_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleOptional,setLinks(java.util.HashMap),33,0,h2
355,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleOptional,autoComplete(org.h2.bnf.Sentence),39,0,h2
361,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.bnf.RuleRepeat,autoComplete(org.h2.bnf.Sentence),41,0,h2
391,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.command.ddl.AlterIndexRename,getType(),75,0,h2
573,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.command.ddl.CreateDomain,getType(),81,0,h2
740,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.command.ddl.CreateSynonym,getType(),114,0,h2
918,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.command.ddl.DropFunctionAlias,getType(),57,0,h2
1025,lexp != rexp,1,1,1,2,2,2,100.00%,TRUE,ROR ==,,"COI !(),ROR ==",,org.h2.command.ddl.SequenceOptions,isRangeSet(),109,0,h2
1027,lexp != rexp,1,1,1,2,2,2,100.00%,TRUE,ROR ==,,"ROR ==,COI !()",,org.h2.command.ddl.SequenceOptions,isRangeSet(),109,0,h2
1038,lexp != rexp,1,1,1,2,2,2,100.00%,TRUE,ROR ==,,"ROR ==,COI !()",,org.h2.command.ddl.SequenceOptions,"getLong(org.h2.engine.Session,org.h2.expression.Expression)",32,0,h2
1039,lexp != rexp,1,1,1,2,2,2,100.00%,TRUE,ROR ==,,"ROR ==,COI !()",,org.h2.command.ddl.SequenceOptions,isRangeSet(),109,0,h2
1044,lexp != rexp,1,1,1,2,2,2,100.00%,TRUE,ROR ==,,"ROR ==,COI !()",,org.h2.command.ddl.SequenceOptions,isRangeSet(),109,0,h2
1185,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.command.dml.RunScriptCommand,getType(),95,0,h2
1201,lexp != rexp,1,1,1,2,2,2,100.00%,TRUE,ROR ==,,"ROR ==,COI !()",,org.h2.command.dml.SelectOrderBy,"getSQL(java.lang.StringBuilder,boolean)",22,0,h2
1202,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.command.dml.SelectOrderBy,"getSQL(java.lang.StringBuilder,boolean)",24,0,h2
1205,if_stm,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.command.dml.SelectOrderBy,"getSQL(java.lang.StringBuilder,boolean)",28,0,h2
1527,exp,1,1,1,6,4,4,100.00%,TRUE,AOIU -exp,,"AOIU -exp,AOIS --exp,LOI ~exp,AOIS ++exp","AOIS exp++,AOIS exp--",org.h2.command.dml.TransactionCommand,,27,0,h2
1569,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.compress.CompressDeflate,"compress(byte,int,byte,int)",59,0,h2
1570,if_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.compress.CompressDeflate,setOptions(java.lang.String),37,0,h2
1571,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.compress.CompressDeflate,"expand(byte,int,int,byte,int,int)",80,0,h2
1572,stm_list,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.compress.CompressDeflate,setOptions(java.lang.String),41,0,h2
1575,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.compress.CompressDeflate,"compress(byte,int,byte,int)",59,0,h2
1578,exp,1,1,1,6,4,4,100.00%,TRUE,AOIU -exp,,"AOIU -exp,AOIS ++exp,AOIS --exp,LOI ~exp","AOIS exp--,AOIS exp++",org.h2.compress.CompressDeflate,"compress(byte,int,byte,int)",59,0,h2
1579,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.compress.CompressDeflate,getAlgorithm(),65,0,h2
1608,exp,3,3,3,4,4,4,100.00%,TRUE,"AOIU -exp,AOIS exp++,AOIS exp--",,"AOIS exp--,AOIU -exp,LOI ~exp,AOIS exp++",,org.h2.compress.CompressDeflate,"expand(byte,int,int,byte,int,int)",73,0,h2
1609,white_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.compress.CompressDeflate,setOptions(java.lang.String),41,0,h2
1610,lexp == rexp,1,1,1,2,2,2,100.00%,TRUE,ROR !=,,"ROR !=,COI !()",,org.h2.compress.CompressDeflate,setOptions(java.lang.String),24,0,h2
1613,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.compress.CompressDeflate,"compress(byte,int,byte,int)",60,0,h2
1614,if_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.compress.CompressDeflate,"expand(byte,int,int,byte,int,int)",77,0,h2
1619,if_stm,2,2,2,2,2,2,100.00%,TRUE,"SDL,SDL",,"SDL,SDL",,org.h2.compress.CompressDeflate,setOptions(java.lang.String),38,0,h2
1622,lexp + rexp,3,3,3,8,8,8,100.00%,TRUE,"ODL lexp,AORB %,ODL rexp",,"AORB *,ODL rexp,AORB /,VDL rexp,VDL lexp,ODL lexp,AORB %,AORB -",,org.h2.compress.CompressNo,"compress(byte,int,byte,int)",22,0,h2
1623,exp,3,3,3,4,4,4,100.00%,TRUE,"AOIS exp++,AOIU -exp,AOIS exp--",,"AOIS exp--,AOIU -exp,LOI ~exp,AOIS exp++",,org.h2.compress.CompressNo,"compress(byte,int,byte,int)",21,0,h2
1626,exp,1,1,1,6,4,4,100.00%,TRUE,AOIU -exp,,"AOIU -exp,AOIS --exp,LOI ~exp,AOIS ++exp","AOIS exp++,AOIS exp--",org.h2.compress.CompressNo,"compress(byte,int,byte,int)",22,0,h2
1627,stm_list,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.compress.CompressNo,"compress(byte,int,byte,int)",22,0,h2
1628,exp,3,3,3,4,4,4,100.00%,TRUE,"AOIU -exp,AOIS exp++,AOIS exp--",,"LOI ~exp,AOIS exp++,AOIU -exp,AOIS exp--",,org.h2.compress.CompressNo,"compress(byte,int,byte,int)",21,0,h2
1630,return_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.compress.CompressNo,"compress(byte,int,byte,int)",23,0,h2
1666,if_stm,1,1,1,1,1,1,100.00%,TRUE,SDL,,SDL,,org.h2.compress.LZFInputStream,,35,0,h2
